iter	Passed	Remaining
0	61	61495
1	66	33014
2	70	23558
3	75	18792
4	80	15986
5	85	14154
6	89	12741
7	94	11724
8	99	10968
9	104	10322
10	109	9800
11	113	9335
12	117	8915
13	121	8587
14	126	8308
15	131	8077
16	136	7876
17	140	7661
18	144	7486
19	149	7347
20	154	7224
21	159	7103
22	164	6995
23	169	6883
24	173	6783
25	178	6695
26	183	6624
27	188	6544
28	193	6468
29	198	6405
30	202	6324
31	207	6267
32	211	6203
33	216	6153
34	221	6095
35	225	6039
36	230	5991
37	234	5942
38	239	5898
39	243	5852
40	248	5817
41	253	5780
42	258	5742
43	263	5718
44	267	5679
45	272	5649
46	276	5614
47	281	5584
48	286	5556
49	290	5520
50	295	5496
51	299	5463
52	304	5443
53	309	5419
54	314	5408
55	318	5371
56	323	5357
57	327	5318
58	332	5296
59	336	5270
60	341	5255
61	345	5229
62	350	5210
63	354	5189
64	358	5163
65	363	5144
66	367	5124
67	372	5103
68	376	5079
69	380	5061
70	385	5050
71	389	5025
72	393	4999
73	397	4971
74	401	4950
75	405	4933
76	410	4915
77	414	4900
78	418	4878
79	422	4861
80	427	4845
81	430	4824
82	435	4807
83	439	4788
84	443	4772
85	447	4753
86	451	4739
87	455	4719
88	459	4702
89	463	4684
90	467	4674
91	472	4659
92	476	4644
93	480	4626
94	484	4615
95	488	4598
96	492	4583
97	497	4575
98	501	4563
99	505	4548
100	509	4536
101	513	4523
102	516	4500
103	520	4484
104	525	4475
105	529	4467
106	533	4456
107	538	4445
108	541	4428
109	546	4418
110	549	4404
111	554	4393
112	557	4379
113	561	4367
